"animal_type","month","year","intake_type","outcome_type","chip_status","time_at_shelter"
"DOG",9,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",8
"DOG",10,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",2
"CAT",11,2016,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",1,2017,"STRAY","ADOPTION","SCAN NO CHIP",21
"DOG",7,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",8
"DOG",6,2017,"STRAY","ADOPTION","SCAN NO CHIP",4
"DOG",11,2016,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"DOG",11,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",5
"DOG",2,2017,"STRAY","ADOPTION","SCAN NO CHIP",4
"DOG",6,2017,"OWNER SURRENDER","EUTHANIZED","SCAN CHIP",0
"DOG",9,2017,"CONFISCATED","RETURNED TO OWNER","SCAN NO CHIP",11
"WILDLIFE",5,2017,"STRAY","ADOPTION","SCAN NO CHIP",12
"DOG",12,2016,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",10
"DOG",1,2017,"OWNER SURRENDER","ADOPTION","SCAN CHIP",1
"DOG",2,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",9
"DOG",7,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",2
"DOG",11,2016,"STRAY","RETURNED TO OWNER","SCAN CHIP",0
"CAT",6,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",7,2017,"STRAY","ADOPTION","SCAN NO CHIP",11
"DOG",4,2017,"STRAY","ADOPTION","SCAN NO CHIP",4
"DOG",5,2017,"CONFISCATED","RETURNED TO OWNER","SCAN NO CHIP",11
"DOG",11,2016,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"DOG",3,2017,"STRAY","ADOPTION","SCAN NO CHIP",23
"DOG",6,2017,"CONFISCATED","ADOPTION","SCAN NO CHIP",16
"DOG",1,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",1
"DOG",4,2017,"STRAY","EUTHANIZED","SCAN CHIP",11
"DOG",12,2016,"STRAY","ADOPTION","SCAN NO CHIP",4
"DOG",2,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",1
"CAT",9,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",6
"CAT",7,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"CAT",7,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",2,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",8,2017,"STRAY","RETURNED TO OWNER","SCAN CHIP",0
"DOG",7,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",14
"DOG",5,2017,"STRAY","ADOPTION","SCAN NO CHIP",6
"DOG",12,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",8
"DOG",1,2017,"STRAY","ADOPTION","SCAN NO CHIP",10
"CAT",10,2016,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"CAT",10,2016,"STRAY","ADOPTION","SCAN NO CHIP",5
"DOG",6,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",12
"DOG",6,2017,"CONFISCATED","EUTHANIZED","SCAN NO CHIP",14
"DOG",9,2017,"OWNER SURRENDER","ADOPTION","SCAN CHIP",4
"CAT",8,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",5,2017,"STRAY","ADOPTION","SCAN NO CHIP",6
"DOG",3,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",12,2016,"STRAY","RETURNED TO OWNER","SCAN CHIP",0
"DOG",1,2017,"CONFISCATED","RETURNED TO OWNER","SCAN NO CHIP",5
"DOG",5,2017,"STRAY","ADOPTION","SCAN NO CHIP",6
"DOG",2,2017,"STRAY","FOSTER","SCAN NO CHIP",37
"CAT",11,2016,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",5
"DOG",9,2017,"STRAY","ADOPTION","SCAN NO CHIP",7
"DOG",7,2017,"CONFISCATED","ADOPTION","SCAN CHIP",20
"DOG",5,2017,"STRAY","ADOPTION","SCAN NO CHIP",10
"DOG",3,2017,"CONFISCATED","RETURNED TO OWNER","SCAN CHIP",11
"DOG",4,2017,"OWNER SURRENDER","ADOPTION","SCAN CHIP",4
"DOG",6,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",3
"DOG",2,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",1
"DOG",12,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",5
"DOG",5,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",5
"DOG",5,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",7,2017,"STRAY","ADOPTION","SCAN NO CHIP",4
"DOG",11,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",3
"DOG",11,2016,"STRAY","ADOPTION","SCAN NO CHIP",7
"DOG",4,2017,"STRAY","ADOPTION","SCAN NO CHIP",10
"DOG",9,2017,"STRAY","DIED","SCAN NO CHIP",2
"CAT",4,2017,"OWNER SURRENDER","DIED","SCAN NO CHIP",1
"DOG",11,2016,"STRAY","EUTHANIZED","SCAN CHIP",28
"DOG",12,2016,"STRAY","RETURNED TO OWNER","SCAN CHIP",2
"CAT",6,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",6
"DOG",6,2017,"STRAY","ADOPTION","SCAN NO CHIP",9
"DOG",5,2017,"OWNER SURRENDER","ADOPTION","SCAN CHIP",4
"DOG",5,2017,"STRAY","ADOPTION","SCAN NO CHIP",4
"DOG",1,2017,"CONFISCATED","EUTHANIZED","SCAN NO CHIP",12
"CAT",12,2016,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",9
"DOG",2,2017,"STRAY","RETURNED TO OWNER","SCAN CHIP",11
"CAT",9,2017,"STRAY","ADOPTION","SCAN NO CHIP",5
"DOG",9,2017,"OWNER SURRENDER","ADOPTION","SCAN CHIP",4
"DOG",2,2017,"STRAY","ADOPTION","SCAN NO CHIP",10
"DOG",2,2017,"OWNER SURRENDER","EUTHANIZED","SCAN CHIP",31
"DOG",7,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",2,2017,"STRAY","ADOPTION","SCAN NO CHIP",5
"DOG",5,2017,"STRAY","ADOPTION","SCAN CHIP",10
"DOG",8,2017,"OWNER SURRENDER","EUTHANIZED","SCAN CHIP",0
"DOG",2,2017,"STRAY","ADOPTION","SCAN NO CHIP",6
"CAT",4,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",5,2017,"OWNER SURRENDER","RETURNED TO OWNER","SCAN CHIP",2
"DOG",11,2016,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",6
"CAT",6,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",9
"DOG",9,2017,"OWNER SURRENDER","EUTHANIZED","SCAN CHIP",21
"DOG",2,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",30
"DOG",9,2017,"STRAY","ADOPTION","SCAN NO CHIP",7
"DOG",8,2017,"STRAY","ADOPTION","SCAN CHIP",10
"WILDLIFE",11,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"CAT",12,2016,"STRAY","ADOPTION","SCAN NO CHIP",12
"CAT",12,2016,"OWNER SURRENDER","ADOPTION","SCAN CHIP",3
"DOG",5,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",8
"DOG",6,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"DOG",10,2016,"STRAY","ADOPTION","SCAN NO CHIP",12
"DOG",12,2016,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",2
"DOG",3,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"DOG",12,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",12,2016,"STRAY","ADOPTION","SCAN NO CHIP",9
"DOG",4,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"DOG",9,2017,"OWNER SURRENDER","ADOPTION","SCAN CHIP",11
"DOG",6,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",1
"DOG",7,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",2
"DOG",10,2016,"STRAY","ADOPTION","SCAN NO CHIP",9
"CAT",9,2017,"OWNER SURRENDER","ADOPTION","UNABLE TO SCAN",1
"DOG",9,2017,"STRAY","ADOPTION","SCAN CHIP",7
"CAT",8,2017,"OWNER SURRENDER","ADOPTION","SCAN CHIP",5
"CAT",8,2017,"STRAY","ADOPTION","SCAN NO CHIP",6
"WILDLIFE",8,2017,"OWNER SURRENDER","DIED","SCAN NO CHIP",7
"DOG",7,2017,"STRAY","ADOPTION","SCAN NO CHIP",25
"DOG",12,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",14
"DOG",3,2017,"STRAY","ADOPTION","SCAN CHIP",10
"DOG",8,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",1
"DOG",11,2016,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",4
"DOG",1,2017,"STRAY","ADOPTION","SCAN NO CHIP",13
"BIRD",11,2016,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",1
"DOG",6,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",6,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",2
"DOG",9,2017,"STRAY","ADOPTION","SCAN NO CHIP",8
"DOG",3,2017,"STRAY","ADOPTION","SCAN NO CHIP",5
"CAT",6,2017,"STRAY","FOSTER","UNABLE TO SCAN",7
"DOG",7,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"DOG",1,2017,"STRAY","ADOPTION","SCAN NO CHIP",9
"CAT",6,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",23
"DOG",12,2016,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",6
"DOG",2,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",7
"DOG",7,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"DOG",3,2017,"STRAY","DIED","SCAN NO CHIP",1
"DOG",1,2017,"CONFISCATED","RETURNED TO OWNER","SCAN CHIP",9
"DOG",6,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"DOG",11,2016,"STRAY","ADOPTION","SCAN NO CHIP",5
"DOG",12,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",1,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"CAT",10,2016,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",32
"DOG",3,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",1
"DOG",12,2016,"STRAY","ADOPTION","SCAN CHIP",15
"CAT",4,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"CAT",4,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",9
"DOG",6,2017,"OWNER SURRENDER","EUTHANIZED","SCAN CHIP",0
"DOG",4,2017,"CONFISCATED","RETURNED TO OWNER","SCAN NO CHIP",11
"DOG",6,2017,"STRAY","ADOPTION","SCAN CHIP",3
"DOG",2,2017,"STRAY","ADOPTION","SCAN NO CHIP",7
"CAT",8,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",2,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"CAT",7,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",1,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",22
"CAT",10,2016,"STRAY","ADOPTION","SCAN NO CHIP",13
"DOG",9,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",11,2016,"STRAY","ADOPTION","SCAN CHIP",13
"DOG",12,2016,"STRAY","RETURNED TO OWNER","SCAN CHIP",0
"DOG",4,2017,"CONFISCATED","RETURNED TO OWNER","SCAN CHIP",1
"DOG",12,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",25
"DOG",6,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"DOG",12,2016,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",3
"DOG",10,2016,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",8
"DOG",10,2016,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",4
"DOG",1,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",1
"DOG",7,2017,"CONFISCATED","EUTHANIZED","SCAN CHIP",14
"DOG",10,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"DOG",8,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",3
"DOG",12,2016,"STRAY","ADOPTION","SCAN NO CHIP",9
"DOG",7,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",7,2017,"STRAY","RETURNED TO OWNER","SCAN CHIP",6
"DOG",2,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"DOG",3,2017,"OWNER SURRENDER","ADOPTION","SCAN CHIP",4
"DOG",7,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",12
"DOG",12,2016,"OWNER SURRENDER","ADOPTION","SCAN CHIP",43
"DOG",2,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"DOG",1,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"CAT",3,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",4
"DOG",8,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"CAT",8,2017,"STRAY","ADOPTION","SCAN NO CHIP",5
"DOG",5,2017,"STRAY","ADOPTION","SCAN NO CHIP",2
"DOG",6,2017,"STRAY","ADOPTION","SCAN CHIP",10
"DOG",11,2016,"STRAY","ADOPTION","SCAN NO CHIP",5
"DOG",5,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"CAT",6,2017,"STRAY","ADOPTION","SCAN NO CHIP",21
"DOG",7,2017,"OWNER SURRENDER","EUTHANIZED","SCAN CHIP",1
"DOG",10,2016,"OWNER SURRENDER","ADOPTION","SCAN CHIP",4
"DOG",7,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",5,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",4
"DOG",7,2017,"STRAY","RETURNED TO OWNER","SCAN CHIP",0
"DOG",1,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",6
"DOG",5,2017,"STRAY","RETURNED TO OWNER","UNABLE TO SCAN",0
"DOG",5,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",5
"CAT",3,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",4
"DOG",5,2017,"STRAY","EUTHANIZED","SCAN CHIP",19
"DOG",2,2017,"STRAY","ADOPTION","SCAN NO CHIP",10
"DOG",5,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"DOG",5,2017,"STRAY","ADOPTION","SCAN NO CHIP",5
"DOG",7,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",7,2017,"STRAY","ADOPTION","SCAN NO CHIP",14
"DOG",1,2017,"STRAY","RETURNED TO OWNER","SCAN CHIP",0
"DOG",8,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",3
"DOG",8,2017,"STRAY","RETURNED TO OWNER","SCAN CHIP",0
"WILDLIFE",10,2016,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",8,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",5
"DOG",10,2016,"OWNER SURRENDER","ADOPTION","SCAN CHIP",2
"DOG",8,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",6,2017,"OWNER SURRENDER","ADOPTION","SCAN CHIP",14
"DOG",1,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",2
"DOG",6,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",17
"DOG",7,2017,"STRAY","ADOPTION","SCAN NO CHIP",11
"DOG",11,2016,"STRAY","ADOPTION","SCAN CHIP",16
"CAT",6,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",9
"DOG",4,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",1
"DOG",3,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",6
"DOG",12,2016,"STRAY","ADOPTION","SCAN CHIP",13
"DOG",10,2016,"STRAY","ADOPTION","SCAN NO CHIP",7
"DOG",3,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"DOG",10,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",26
"DOG",4,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",5
"DOG",6,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"DOG",3,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",5
"DOG",10,2016,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",5,2017,"STRAY","DIED","SCAN NO CHIP",2
"DOG",5,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"DOG",7,2017,"OWNER SURRENDER","EUTHANIZED","SCAN CHIP",11
"DOG",4,2017,"CONFISCATED","RETURNED TO OWNER","SCAN NO CHIP",13
"DOG",4,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",9
"DOG",5,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",3
"DOG",8,2017,"STRAY","RETURNED TO OWNER","SCAN CHIP",3
"DOG",1,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",10
"DOG",9,2017,"STRAY","ADOPTION","SCAN CHIP",12
"DOG",10,2016,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",4
"DOG",6,2017,"CONFISCATED","ADOPTION","SCAN NO CHIP",19
"DOG",2,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",1
"DOG",7,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",1,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",2
"CAT",3,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",3
"CAT",6,2017,"STRAY","ADOPTION","SCAN NO CHIP",21
"DOG",11,2016,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",1
"DOG",4,2017,"STRAY","ADOPTION","SCAN NO CHIP",4
"DOG",12,2016,"OWNER SURRENDER","ADOPTION","SCAN CHIP",2
"DOG",7,2017,"STRAY","ADOPTION","SCAN NO CHIP",4
"DOG",4,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",2
"DOG",10,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"DOG",7,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",13
"DOG",11,2016,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",2
"CAT",9,2017,"STRAY","EUTHANIZED","UNABLE TO SCAN",0
"DOG",5,2017,"STRAY","ADOPTION","SCAN NO CHIP",7
"DOG",6,2017,"STRAY","ADOPTION","SCAN NO CHIP",8
"DOG",12,2016,"STRAY","ADOPTION","SCAN NO CHIP",4
"DOG",6,2017,"STRAY","ADOPTION","SCAN NO CHIP",13
"DOG",9,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",5
"DOG",5,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",5
"DOG",12,2016,"STRAY","ADOPTION","SCAN NO CHIP",28
"DOG",3,2017,"STRAY","ADOPTION","SCAN NO CHIP",8
"DOG",2,2017,"STRAY","ADOPTION","SCAN NO CHIP",11
"DOG",8,2017,"STRAY","RETURNED TO OWNER","SCAN CHIP",0
"CAT",8,2017,"OWNER SURRENDER","ADOPTION","SCAN CHIP",12
"DOG",8,2017,"STRAY","ADOPTION","SCAN NO CHIP",6
"CAT",7,2017,"STRAY","ADOPTION","SCAN NO CHIP",11
"CAT",11,2016,"STRAY","DIED","SCAN NO CHIP",2
"DOG",6,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"DOG",10,2016,"STRAY","DIED","SCAN NO CHIP",3
"DOG",6,2017,"STRAY","ADOPTION","SCAN CHIP",11
"DOG",10,2016,"STRAY","ADOPTION","SCAN NO CHIP",41
"DOG",6,2017,"STRAY","ADOPTION","SCAN NO CHIP",8
"DOG",4,2017,"STRAY","RETURNED TO OWNER","SCAN CHIP",0
"DOG",1,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",3,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",9,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",6
"DOG",4,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",6
"DOG",9,2017,"OWNER SURRENDER","EUTHANIZED","SCAN CHIP",12
"DOG",11,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",12,2016,"STRAY","ADOPTION","UNABLE TO SCAN",14
"DOG",1,2017,"STRAY","RETURNED TO OWNER","SCAN CHIP",2
"DOG",7,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"DOG",5,2017,"STRAY","ADOPTION","SCAN NO CHIP",8
